id;role;description;exceptions;created_by;created_date;last_modified_by;last_modified_date
1;CASHIER;connect;Borders USB Ergonomic;Music Intranet neural;2022-07-06T18:30:48;incentivize Metal;2022-07-06T21:59:22
2;RESPONSABLE_PARTENAIRE;Specialist Yen firewall;Drives;New multi-byte;2022-07-06T02:51:48;exploit Islands;2022-07-06T14:53:44
3;CASHIER;deposit input;Gloves Tasty rich;Franc;2022-07-06T19:07:29;Fish structure metrics;2022-07-06T01:41:59
4;RESPONSABLE_PARTENAIRE;middleware indexing XSS;Agent;Jewelery generating;2022-07-06T22:49:52;deposit;2022-07-06T07:03:24
5;RESPONSABLE_POINT;Berkshire;open-source Visionary Hat;Kids fuchsia;2022-07-05T23:53:21;Shoes redundant salmon;2022-07-06T08:44:15
6;ADMIN;markets;salmon generating Profit-focused;Rwanda withdrawal orchestrate;2022-07-06T22:44:15;back-end Table;2022-07-06T02:28:53
7;RESPONSABLE_PARTENAIRE;communities Lights e-enable;Aruban;array Concrete;2022-07-06T14:54:49;Sleek;2022-07-06T09:38:24
8;ADMIN_PARTENAIRE;gold hybrid;uniform Director;e-tailers Account Accounts;2022-07-06T15:21:42;Cliff Frozen;2022-07-05T23:58:03
9;ADMIN_PARTENAIRE;Tasty Korean Gloves;Sausages;Moroccan;2022-07-06T11:02:02;microchip;2022-07-06T13:52:22
10;ADMIN;Parks;Fork partnerships Specialist;Electronics;2022-07-06T14:26:00;Manager;2022-07-06T13:49:01
