id;p_os_name;i_mei;device_statut;created_by;created_date;last_modified_by;last_modified_date
1;Mobility SAS primary;France;ACTIVE;Ball payment;2022-07-06T04:19:18;parse models;2022-07-05T23:51:01
2;Auto feed;deposit Specialist Branding;ACTIVE;Kids;2022-07-06T20:20:06;Chicken payment;2022-07-06T16:45:18
3;navigate interface withdrawal;synthesize efficient streamline;BLOQUER;Computers Granite e-business;2022-07-06T17:46:14;orchestrate Central Toys;2022-07-06T18:16:34
4;Kwacha Arizona logistical;Cotton program;ACTIVE;transmitting PNG;2022-07-06T11:41:24;frictionless Persistent Kids;2022-07-06T08:04:07
5;Agent holistic;payment;ACTIVE;Parkway;2022-07-06T18:04:02;Baby;2022-07-06T10:01:22
6;Buckinghamshire lavender;program quantifying Nevada;ACTIVE;clicks-and-mortar overriding;2022-07-06T06:43:08;Personal up;2022-07-06T00:47:37
7;Ergonomic;Berkshire;ACTIVE;Rustic Granite;2022-07-06T15:07:30;mindshare;2022-07-06T12:18:21
8;Dollar SAS seize;Refined open-source;BLOQUER;virtual administration;2022-07-06T01:47:01;Coordinator;2022-07-06T01:23:43
9;invoice;cross-platform;BLOQUER;parsing;2022-07-06T14:25:22;efficient;2022-07-06T00:34:39
10;Plastic;synthesizing SQL;BLOQUER;seamless;2022-07-06T20:02:24;disintermediate;2022-07-06T00:28:03
